Continent,country,Energy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Consumption
Africa,        Mozambique,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117047347,0.138993926,0.102416392,0.18654431,0.270672228,0.292618514,0.340900519,0.336730836,0.396673655,2.182597727
Africa,        Namibia,COAL,0,0,0,0,0,0,0,0,0,0,0,0.103470606,0.082776309,0.062082305,0.068980404,0.110368412,0.096572507,0.07587821,0.117266511,0.041388301,0.033945808,0.0058014,0.0114856,0.06302137,0.000227368,0.0018166,0.064431579,0.124169884,0.094374714,0.060790468,0.0194552,0.058839381,0.060790468,0.0274248,0.0206858,0.0237037,0.035314118,0.172920396,0.151756713,0.20827319,0.264068594,0.281744991,2.543825414
Africa,        Niger,COAL,0.118624859,0.177937142,0.266906006,0.771061437,0.889686296,0.895617495,0.73547395,0.972723668,0.919342584,1.014242354,0.87704569,0.879981843,0.788438974,0.859619808,0.833516438,0.960006003,0.899703087,0.932271502,1.068369709,0.840770239,0.848166731,0.865960328,0.972722496,1.007716951,1.133951313,1.041388511,0.964062881,0.866731211,0.992295482,1.05220109,1.294788682,1.459083744,1.523734194,1.355287029,1.656815087,1.4439333,1.577549797,1.550924594,1.491017521,1.504330269,1.564141238,1.491982663,43.3601242
Africa,        Nigeria,COAL,0.892349373,0.87487456,0.857399747,0.839924641,0.822449828,0.804975015,0.787500202,0.883615629,0.618445648,0.633529874,0.678781966,0.580118025,0.533365773,0.211176527,0.188550481,0.166308558,0.128214456,0.105780325,0.090504184,0.059445891,0.0239674,0.175036442,0.172503164,0.173481491,0.240030581,0.282954788,0.239010941,0.207365476,0.223130634,0.291174903,0.306930099,0.300560279,0.280299915,0.332843605,0.342899365,0.458691793,0.667372839,0.719009401,0.72678357,0.799108276,0.742551658,0.797107086,19.2601121
Africa,        Reunion,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Rwanda,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Saint Helena,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Sao Tome and Principe,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Senegal,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793272888,0.82776309,0.876049197,1.048499914,1.15197052,2.076305824,1.752098687,2.17977643,1.97973361,2.193572335,2.40741106,2.393615155,3.23517415,3.380032764,3.545585382,4.228490151,4.842414516,6.139243357,6.170110321,6.532928412,57.75404776
Africa,        Seychelles,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
